session,vote_number,vote_question_text,member_full,vote_cast,vote_id,numerical_vote
1,219,On Passage of the Bill H.R. 2775,Scott (R-SC),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Sessions (R-AL),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Shaheen (D-NH),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Shelby (R-AL),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Stabenow (D-MI),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Tester (D-MT),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Thune (R-SD),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Toomey (R-PA),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Udall (D-CO),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Udall (D-NM),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Vitter (R-LA),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Warner (D-VA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Warren (D-MA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Whitehouse (D-RI),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Wicker (R-MS),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Wyden (D-OR),Yea,1:219,2
1,185,On Passage of the Bill H.R. 1911,Alexander (R-TN),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Ayotte (R-NH),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Baldwin (D-WI),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Barrasso (R-WY),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Baucus (D-MT),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Begich (D-AK),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Bennet (D-CO),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Blumenthal (D-CT),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Blunt (R-MO),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Boozman (R-AR),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Boxer (D-CA),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Brown (D-OH),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Burr (R-NC),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Cantwell (D-WA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Cardin (D-MD),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Carper (D-DE),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Casey (D-PA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Chambliss (R-GA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Chiesa (R-NJ),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Coats (R-IN),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Coburn (R-OK),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Cochran (R-MS),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Collins (R-ME),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Coons (D-DE),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Corker (R-TN),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Cornyn (R-TX),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Crapo (R-ID),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Cruz (R-TX),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Donnelly (D-IN),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Durbin (D-IL),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Enzi (R-WY),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Feinstein (D-CA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Fischer (R-NE),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Flake (R-AZ),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Franken (D-MN),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Gillibrand (D-NY),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Graham (R-SC),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Grassley (R-IA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Hagan (D-NC),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Harkin (D-IA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Hatch (R-UT),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Heinrich (D-NM),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Heitkamp (D-ND),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Heller (R-NV),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Hirono (D-HI),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Hoeven (R-ND),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Inhofe (R-OK),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Isakson (R-GA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Johanns (R-NE),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Johnson (D-SD),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Johnson (R-WI),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Kaine (D-VA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,King (I-ME),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Kirk (R-IL),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Klobuchar (D-MN),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Landrieu (D-LA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Leahy (D-VT),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Lee (R-UT),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Levin (D-MI),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Manchin (D-WV),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Markey (D-MA),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,McCain (R-AZ),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,McCaskill (D-MO),Not Voting,1:185,0
1,185,On Passage of the Bill H.R. 1911,McConnell (R-KY),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Menendez (D-NJ),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Merkley (D-OR),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Mikulski (D-MD),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Moran (R-KS),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Murkowski (R-AK),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Murphy (D-CT),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Murray (D-WA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Nelson (D-FL),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Paul (R-KY),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Portman (R-OH),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Pryor (D-AR),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Reed (D-RI),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Reid (D-NV),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Risch (R-ID),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Roberts (R-KS),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Rockefeller (D-WV),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Rubio (R-FL),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Sanders (I-VT),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Schatz (D-HI),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Schumer (D-NY),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Scott (R-SC),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Sessions (R-AL),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Shaheen (D-NH),Yea,1:185,2
